time,address,peers_connected,peers_good,content_count,out,in
2016-03-15_21-17-04,1AzAFRKvba4f3yMqYCaHhW9G5rnDFrhnAn,0,0,1,3087,29456
2016-03-15_21-17-04,1Lzu3HBELK2Mp6qBmrYxum1zwxpTpDAnZA,0,0,1,0,90029
2016-03-15_21-17-04,1KQ9re46CXrBZhsHLnihgmPjBBr2b8bNKC,0,0,1,0,2122333
2016-03-15_21-17-04,17YSii8DbUZeHqgd8roo2ie23Ys11sZHBP,0,0,1,0,699826
2016-03-15_21-17-04,1BrgXu4E6jzdtvwec9oEU5Fir7355yeJF3,0,0,10,2348,448142
2016-03-15_21-17-04,1JMLq9wEG3xMs3g9uwLBWsTzTf7MofyxRX,0,0,1,0,943
2016-03-15_21-17-04,16kjT7s5mUM83uJ6cUKmkEAswJye1tEd3C,0,0,1,0,364189
2016-03-15_21-17-04,1AcGB3ooPzVd4y3QWdBx32V4gcSrjxUjUT,0,0,1,0,2831700
2016-03-15_21-17-04,17Vc4FxokFp67xxqKXR9AcfYBMjzFwgNKF,0,0,2,0,1461627
2016-03-15_21-17-04,1f7FYxZWSZ5YG7Nd8sGsHcWEQgvdnVvQF,0,0,1,379302,237335
2016-03-15_21-17-04,15duv81kQ7PvRc7KfVD9k3tYHU1KBMo7uW,0,0,1,0,35348
2016-03-15_21-17-04,16ybaY9D2XhhCk5GqjpAmBXJ7DXcsMtrkH,0,0,5,0,406402
2016-03-15_21-17-04,1NXZEk3SupketTvbRxaXCERa1E9Es9hi4a,0,0,1,0,6148938
2016-03-15_21-17-04,19DtdQZymsSBcTw1P6rwKxtEx9fpf93Qug,0,0,7,0,413642
2016-03-15_21-17-04,1Kr2j7wsM8NpQYCjgR6ccxHLuQmjdnVqD,0,0,8,0,388906
2016-03-15_21-17-04,13nELCDhPs8rT4EqF1HRGvfPPRCGELKRqD,0,0,11,0,3592952
2016-03-15_21-17-04,1ZeroeuDnL2jNS6t1epQa1SPvC91KG8ER,0,0,111,4248,1560374
2016-03-15_21-17-04,1NpCZF573u5vW6iUy7xQzFsv7zCYJysfiK,0,0,1,0,7725
2016-03-15_21-17-04,1KFARPHaH3JoXeUcjwMx3vFM5q7i1zQGav,0,0,1,0,20091
2016-03-15_21-17-04,13RhXecmBH34X44Nohf2qMogZKH7KzoG78,0,0,6,0,405843
2016-03-15_21-17-04,1DXDDPLAvZNrEg4wzsX8CJqAzZvQ9G1Rvj,0,0,4,0,379966
2016-03-15_21-17-04,1PUxGz6Z6kdSZh9KnYJLN3872cYxWMoimf,0,0,1,0,13910571
2016-03-15_21-17-04,1TaLk3zM7ZRskJvrh3ZNCDVGXvkJusPKQ,0,0,329,0,234616
2016-03-15_21-17-04,1DZpN7BRvJ4x6XrkJjQfGv1LRShsWci6Pc,0,0,7,972,429428
2016-03-15_21-17-04,1FMeSorqAS8Kq5E5XJpGGBJ8Qb2CxXhaYb,0,0,10,898661,375225
2016-03-15_21-17-04,1BCXs4U5Vjh5pE53iZ81zKVNfQRro8ZNdT,0,0,1,0,1133208
2016-03-15_21-17-04,14YfGLkqb7U36hZuPgDjhnFSimsaEfJC8d,0,0,1,0,1914
2016-03-15_21-17-04,1Apr5ba6u9Nz6eFASmFrefGvyBKkM76QgE,0,0,87,130905512,32290471
2016-03-15_21-17-04,1Vp5LH4wegCaqeB72yMw2jgNdVm4aR7ET,0,0,74,32412,2192604
2016-03-15_21-17-04,12PMGTrJoEzsdAUJntWtYM3TZrVzqp3dBP,0,0,8,13243,185728
2016-03-15_21-17-04,16rELcbeZ7GY7X8teezU2EVSdpQpc7WPjF,0,0,1,0,707187
2016-03-15_21-17-04,1CpGZyfbUBBV5uXUoY653wVoqZFRojbEzd,0,0,16,0,456639
2016-03-15_21-17-04,15JsmbWUThByzyikLDaF2R2R1fNUU22CjD,0,0,4,0,406622
2016-03-15_21-17-04,1HzKesHsWG3N96CfW9eC2aL9VKY7EDm2Zj,0,0,11,123532,8591552
2016-03-15_21-17-04,186THqMWuptrZxq1rxzpguAivK3Bs6z84o,0,0,675,1234811,3414958
2016-03-15_21-17-04,1BhTN5e9FHmE3jaWSjK2BPDiRPsq5F95bq,0,0,1,0,858
2016-03-15_21-17-04,17VFQ2Tnoa6oX94LnvDAYm7BkaMa2GxaDN,0,0,1,0,98170
2016-03-15_21-17-04,12mZD7GPDjmeBYcLtMTP1v6Lic4kzetmL5,0,0,1,0,3547
2016-03-15_21-17-04,15cFtCNHwoSd9TJhgVnncTgETzJceKYmeK,0,0,1,0,1126
2016-03-15_21-17-04,1AHd759ohsgzr4NZC7cpSu1UuxjYukhx1m,0,0,1,0,2451252
2016-03-15_21-17-04,1Ae4HEA5meVoUtVsYnS4jLP6D4Q9D6Gez1,0,0,1,0,9092
2016-03-15_21-17-04,12WY4MGfJDjuBjj692q9x4TH8S5fsfaMtm,0,0,1,0,147651
2016-03-15_21-17-04,1CGn7MNajfkAeN11bjKVG9vmDGqA8qv74S,0,0,1,0,32400
2016-03-15_21-17-04,1N9mhMhyXo4nfzuVRnWQiF328ZR4AmGEVt,0,0,2,0,1461362
2016-03-15_21-17-04,16awv1xD5Hpxc4Q3f9tsSZ9MF6sSSdqF7p,0,0,13,0,455649
2016-03-15_21-17-04,1AHdsE9EMpAqmLQ72RE7HHGr26Z3hPyuvT,0,0,5,0,34675
2016-03-15_21-17-04,1Kp5xdjQyrPth5mEJsn6NDBKZxcaeYz86N,0,0,36,16132,2409074
2016-03-15_21-17-04,1KzDGFWuVgniDVaKBdS1cY91FZBQeKbZMn,0,0,88,38072,905489
2016-03-15_21-18-04,1MNb8vJAyyYEhmn5Lo962DttpGE7NYp4Yp,3,4,8,91,5934771
2016-03-15_21-18-04,15GAu5QYg34TLzD4b2WMpZSid9S2K6M54h,3,3,1,0,6789
2016-03-15_21-18-04,165eqHdoQfyf7CVGqtVCGNDvMBZhwVSJBL,4,4,54,17429,1895963
2016-03-15_21-18-04,1Gfey7wVXXg1rxk751TBTxLJwhddDNfcdp,11,13,1,170663684,192250002
2016-03-15_21-18-04,18LCHTNzfWRSuABmpTd2rqZG71LLcXhgHE,4,4,1,979,2415
2016-03-15_21-18-04,16LWwkDHxYzxT1XsQm3sxjG43BqzovVAJT,4,6,2,0,360846
2016-03-15_21-18-04,1Q7dKG1kLuGfUwKdwbVfC7sKo7hEF5nbEr,14,15,4,0,4525210
2016-03-15_21-18-04,1Gif7PqWTzVWDQ42Mo7np3zXmGAo3DXc7h,14,17,482,20688420,69016056
2016-03-15_21-18-04,13dFL5m6hf9e82JrBUWiTBdTtbdoHJEUM4,4,5,1,0,36506
2016-03-15_21-18-04,1K5CGPwisBNFoWRThY9ZLfeJVqN757aLke,1,4,1,0,120777
2016-03-15_21-18-04,1PLAYgDQboKojowD3kwdb3CtWmWaokXvfp,5,6,1,411054,14083080
2016-03-15_21-18-04,13rV6Z9HjvFMjioh7qUVWsaNzHDeAU3sb5,6,6,3,0,582344
2016-03-15_21-18-04,1QEsP1TSUH2qKGNXtCNhhfmmQbNMw8WZXR,0,0,1,0,393161
2016-03-15_21-18-04,1KdF3z61jUqqcfLnufJJs8MbuHwfQwjS89,4,6,5,0,416191
2016-03-15_21-18-04,1HAFn2Rg9VPtyzq7dixenHD9sekiX9Pzv3,8,9,2,0,3902611
2016-03-15_21-18-04,1K28kQFMquNzto2iQf4GGjr6oFUbC1NddE,21,23,126,1286284,5980453
2016-03-15_21-18-04,17T9yUUqAkboMP2hjwSafrHkuMgApuXAmR,6,7,3,0,1442157
2016-03-15_21-18-04,16g8mFUtLsQBM6bPMJ6xEEQWLWAufnzEXA,4,5,4,0,551553
2016-03-15_21-18-04,1NJyPoPpL8At17T6G7A1qHVQdqZDBmXcLT,9,11,46,0,286058
2016-03-15_21-18-04,1TaLkFrMwvbNsooF4ioKAY9EuxTBTjipT,15,15,1489,15440573,35068345
2016-03-15_21-18-04,163ZAwi5BcGBm6UEwdJF1pkcejDMCT1kAj,6,6,1,0,29598939
2016-03-15_21-18-04,148or6yKMeNV4qdmKyCtpaNiFAeU1cccCw,3,4,1,284758,985718
2016-03-15_21-18-04,1LtvsjbtQ2tY7SCtCZzC4KhErqEK3bXD4n,11,11,54,27992,2666926
2016-03-15_21-18-04,1PwzQR48SRYjQ5a2LAehD5QQaKnPHiQxi8,7,9,3,5356,2448232
2016-03-15_21-18-04,1Cec5T5m7woi3xdEWHZ9eV66j6BEmrE5xx,1,1,1,19139,0
2016-03-15_21-18-04,18JPEXtjZ4fxQ4BgCwCigVfTAk2opAnoD8,6,6,4,546,428005
2016-03-15_21-18-04,14y3fN1A214HYdKe5f6WnQdfT3PdKLSAJo,10,10,1,0,37173
2016-03-15_21-18-04,1NfVz57ebbUae6DiksXR88ZgwY9VY1jQiH,8,8,28,0,583803
