address,content_count,in,out,peers_connected,peers_good,peers_total,time
1BLogC9LN4oPDcruNz3qo1ysa133E9AGg8,174,3969323,3906,0,0,0,1457961182.31
1CiAFnnf6kb2G1GzDV1FhttTWNxCa4mShn,23,3430665,2708277,0,0,0,1457961182.31
13NS3rSzCTpAYtH997rphfZDaWRypyjwnU,1,3072275,20480,0,0,0,1457961182.31
1NpNCPyBpZaGe9BdhuVAkwqVZXg8Hy7VB,24,17180198,40525,0,0,0,1457961182.31
14weBe8CQHen9U1LG4gE2bxg76QMCGsQoS,16,3782529,0,0,0,0,1457961182.31
192dZ1EG5tU7PnCfuwGMDEBrr2eLqvs4t3,105,229346073,70919387,0,0,0,1457961182.31
13x71nc7fju6afMqpEPfcu3Gx9Z5hNhH48,14,13601223,0,0,0,0,1457961182.31
1LC3ryygCrv94ZK4Nk8ELW6vE1hKwopE8T,1,295744,0,0,0,0,1457961182.31
1B3MjcF3y7UiSMgevjnso5JVNFMz2ci2ME,1,0,0,0,0,0,1457961182.31
12mZD7GPDjmeBYcLtMTP1v6Lic4kzetmL5,1,3547,0,0,0,0,1457961182.31
1iD5ZQJMNXu43w1qLB8sfdHVKppVMduGz,1,70452784,65221720,0,0,0,1457961182.31
17wNH5uEUyWhGT8rDrABdJrJ4udGLtC9oJ,1,8810,0,0,0,0,1457961182.31
1Nepe91gkzrRbPXE1LKaAQm42ERoiAUhhu,1,2297638,0,0,0,0,1457961182.31
1Lod6THUt6v6ebZdBF2voYMk2QfvLvPm4q,1,14904240,0,0,0,0,1457961182.31
1HeLLo4uzjaLetFx6NH3PMwFP3qbRbTf3D,1,893763,446322,0,0,0,1457961182.31
1KWy8mTjFvviLWwkmUWUZZosxgpYEK8rUq,4,1122098,57029,0,0,0,1457961182.31
1MgHVPCE1ve6QfKrgsqCURzRj72HrRWioz,59,890457,192095,0,0,0,1457961182.31
1AzAFRKvba4f3yMqYCaHhW9G5rnDFrhnAn,1,29456,3087,0,0,0,1457961182.31
1Lzu3HBELK2Mp6qBmrYxum1zwxpTpDAnZA,1,90029,0,0,0,0,1457961182.31
1KQ9re46CXrBZhsHLnihgmPjBBr2b8bNKC,1,2122333,0,0,0,0,1457961182.31
1BrgXu4E6jzdtvwec9oEU5Fir7355yeJF3,10,417196,0,0,0,0,1457961182.31
15cFtCNHwoSd9TJhgVnncTgETzJceKYmeK,1,1126,0,0,0,0,1457961182.31
16kjT7s5mUM83uJ6cUKmkEAswJye1tEd3C,1,364189,0,0,0,0,1457961182.31
17Vc4FxokFp67xxqKXR9AcfYBMjzFwgNKF,2,1461627,0,0,0,0,1457961182.31
1f7FYxZWSZ5YG7Nd8sGsHcWEQgvdnVvQF,1,237335,379302,0,0,0,1457961182.31
15duv81kQ7PvRc7KfVD9k3tYHU1KBMo7uW,1,35348,0,0,0,0,1457961182.31
16ybaY9D2XhhCk5GqjpAmBXJ7DXcsMtrkH,4,405039,0,0,0,0,1457961182.31
1NXZEk3SupketTvbRxaXCERa1E9Es9hi4a,1,6148938,0,0,0,0,1457961182.31
1Kr2j7wsM8NpQYCjgR6ccxHLuQmjdnVqD,8,388906,0,0,0,0,1457961182.31
